"CONTROL_SOBOLEVSKY_1" "CONTROL_SOBOLEVSKY_2" "CONTROL_SOBOLEVSKY_3" "KIREEVSKY_1" "KIREEVSKY_2" "KIREEVSKY_3" "PESENNIKI_1" "PESENNIKI_2" "PESENNIKI_3" "RUSCORPORA_1" "RUSCORPORA_2" "RUSCORPORA_3" "RUSSKIE_PESNI_1" "RUSSKIE_PESNI_2" "RUSSKIE_PESNI_3" "SOBOLEVSKY_1" "SOBOLEVSKY_2" "SOBOLEVSKY_3"
"вспоминаючи" 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"вспорождать" 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"всходить" 0 0 0 0.01 0.01 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0
"вторник" 0.01 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"въезжать" 0.01 0 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"выбиваться" 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0
"выгонять" 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0.01 0.01 0
"выдумывать" 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0 0
"выкурити" 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01
"выпрягать" 0.02 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"выронять" 0 0.01 0.01 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0
"выручать" 0 0 0 0.01 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01
"вырыть" 0 0 0 0.01 0.01 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0
"выставлять" 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0.02 0 0 0
"выстрачивать" 0.01 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0
"высь" 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0.01 0.01 0 0 0
"вяз" 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.02
"гей" 0 0 0 0 0 0 0.01 0.02 0 0 0 0 0 0 0 0 0.01 0
"гений" 0 0 0 0 0 0 0 0 0 0.01 0.03 0 0 0 0 0 0 0
"гладенька" 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"гладкий" 0.01 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0.01 0 0 0
"глупенек" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0.01
"гневаться" 0 0 0 0.01 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0.01 0
"голодный" 0.01 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0.01 0 0 0
"голубин" 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0.02 0 0
"гордость" 0 0 0 0 0 0.01 0 0.01 0.01 0 0.01 0 0 0 0 0 0 0
"горек" 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0
"городок" 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02
"горох" 0.01 0 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0
"горошек" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02
"горшок" 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0.01 0.01 0
"гостевать" 0 0.03 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"готовить" 0 0 0 0 0 0 0 0.01 0 0.02 0.01 0 0 0 0 0 0 0
"графинчик" 0 0 0 0 0 0 0.01 0.02 0 0 0 0 0 0 0 0 0.01 0
"гребень" 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0.01 0.01 0 0 0
"грезиться" 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0.01 0 0.01 0 0 0
"грек" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02 0 0 0 0 0 0
"гречишный" 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"гривенка" 0 0 0 0 0 0 0 0.02 0.01 0 0 0 0 0 0 0.01 0 0
"грозно" 0 0 0 0.01 0 0 0 0 0 0.02 0 0.01 0 0 0 0 0 0
"громов" 0.02 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0
"груда" 0 0 0 0 0.01 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0
"грядущий" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02 0 0 0 0 0 0
"губернатор" 0 0 0 0.01 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0
"губерния" 0 0 0 0.01 0 0.02 0 0 0 0 0 0.01 0 0 0 0 0 0
"гуливать" 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01
"гусарик" 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01
"давный" 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0
"данный" 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.01 0.01 0 0 0
"даритя" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0.01
"деверинушка" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0 0
"дерзать" 0 0 0 0 0 0 0 0 0 0.01 0.03 0 0 0 0 0 0 0
"дерзкий" 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0 0.01 0 0 0
"дерн" 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0 0 0.01 0 0 0
"десять" 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01
"дневной" 0 0 0 0 0 0 0 0 0 0.01 0 0.02 0 0 0.01 0 0 0
"добиваться" 0 0 0 0 0.02 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0
"дождалася" 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0.01
"дожидалася" 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"доколь" 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0.01 0
"домна" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02
"донь" 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"допрос" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0.01 0 0 0 0 0 0
"дородство" 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0.01 0
"дорожечка" 0.01 0.02 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0
"доспеться" 0 0 0 0 0 0 0.02 0 0.02 0 0 0 0 0 0 0 0 0
"доспехи" 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0.02 0 0 0 0
"доступный" 0 0 0 0 0 0 0 0 0 0 0.03 0.01 0 0 0 0 0 0
"досуг" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0
"драгай" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0.01 0 0 0 0 0 0
"драть" 0 0 0 0 0 0.02 0 0 0 0 0 0.01 0 0 0 0.01 0 0
"дружество" 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0 0.01 0 0 0 0
"дрянь" 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0.01 0.01 0
"дряхлый" 0 0 0 0 0 0 0.01 0.01 0 0 0.01 0 0 0 0.01 0 0 0
"дуброва" 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0.01 0 0 0.01 0
"дуга" 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0.01
"дурацкий" 0 0.01 0 0 0 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0
"дымиться" 0 0 0 0 0 0 0 0 0 0.01 0.03 0 0 0 0 0 0 0
"дымочек" 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0.01 0.01 0
"дьяк" 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01
"дядюшка" 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"е" 0 0 0 0 0 0 0 0 0 0.02 0.02 0 0 0 0 0 0 0
"езда" 0.01 0.01 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0
"езжать" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0.01 0 0 0 0 0 0
"еловый" 0.01 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01
"ель" 0 0.01 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0
"жалобнехонько" 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0
"жалобный" 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0
"жарко" 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0.01 0.01 0 0 0 0
"желудь" 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0
"женя" 0 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"живать" 0 0 0 0.01 0 0 0.02 0.01 0 0 0 0 0 0 0 0 0 0
"животок" 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0.01
"забиваться" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.02 0 0 0
"заблестеть" 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.02 0 0 0 0 0
"заболевать" 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0
"забыть" 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0
"заводь" 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0
"задушевный" 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0
"зажимать" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0 0
"зайка" 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0.01 0 0.01 0
"закатываться" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.01 0.01 0 0
"закрываться" 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0.02 0 0 0
"закусывать" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0.01
"заломати" 0 0 0 0 0 0 0.01 0 0.02 0 0 0 0 0 0 0.01 0 0
"заманивать" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.02 0.01 0 0 0
"замахать" 0.01 0.01 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0
"замешкаться" 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"заносить" 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0
"запивать" 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0
"зародилася" 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01
"засорин" 0 0 0 0 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0
"затихать" 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0.02 0 0 0
"захватить" 0 0 0 0 0.01 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0
"захлопать" 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.01
"заходить" 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0
"защищать" 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.01 0 0 0 0
"звонок" 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0.01 0
"звучать" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0.01 0 0 0 0
"здание" 0 0 0 0 0 0 0 0 0 0.02 0 0.02 0 0 0 0 0 0
"здравие" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0.01 0 0 0 0 0 0
"зелень" 0 0 0 0 0 0 0 0 0 0.02 0 0 0.01 0.01 0 0 0 0
"земляной" 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0
"злоба" 0 0 0 0.01 0 0 0 0 0 0 0.02 0.01 0 0 0 0 0 0
"знакомец" 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0.01 0 0 0 0
"значить" 0 0 0 0 0 0 0 0 0 0.02 0.01 0 0.01 0 0 0 0 0
"зной" 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0 0 0 0 0 0
"игривый" 0 0 0 0.01 0 0 0 0 0 0.01 0 0.02 0 0 0 0 0 0
"игуменья" 0 0 0 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"избавлять" 0 0 0 0 0.01 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0
"известно" 0 0 0 0 0 0 0 0 0 0 0.03 0.01 0 0 0 0 0 0
"извощичка" 0 0 0.01 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0
"извощичок" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0
"изголовье" 0 0 0 0.01 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0.01 0
"издалека" 0.01 0 0 0 0 0.01 0 0 0 0 0.02 0 0 0 0 0 0 0
"изживать" 0 0 0.01 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0
"изменница" 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.03 0 0 0
"измятый" 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.01 0 0 0
"исполнять" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02 0 0 0 0 0 0
"испытывать" 0 0 0 0 0 0 0 0 0 0.02 0.01 0 0 0.01 0 0 0 0
"источник" 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0 0 0 0 0 0
"ихний" 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0.01 0.01 0 0
"ишелы" 0.02 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01
"ишла" 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01
"каменья" 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.01 0 0 0 0 0 0
"кануть" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0
"капитан" 0 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01
"караулить" 0 0 0 0 0 0 0 0.02 0.02 0 0 0 0 0 0 0 0 0
"каретушка" 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"кармливать" 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"картуз" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0.01 0
"ке" 0 0 0 0 0 0 0.01 0.01 0 0.02 0 0 0 0 0 0 0 0
"кидаться" 0 0 0.01 0 0 0.02 0 0 0 0 0 0 0 0 0.01 0 0 0
"киев" 0 0 0 0.01 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0
"кипучий" 0 0 0 0 0 0.01 0 0 0 0.02 0.01 0 0 0 0 0 0 0
"клабук" 0.01 0 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0
"кладбище" 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0.01 0 0.01 0
"княжеский" 0 0 0 0 0.01 0.01 0 0 0 0 0.01 0 0 0.01 0 0 0 0
"кованый" 0.01 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0
"кол" 0.01 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0
"колесо" 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0
"колокольчик" 0 0 0 0 0 0 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0
"колчан" 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.01 0 0 0 0 0 0
"колыхать" 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0.02 0 0 0 0
"колышек" 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"коника" 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0.02
"конопелька" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0.01 0
"конюшенька" 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0
"конюший" 0 0 0 0.01 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0.01 0
"копейка" 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0.02
"кора" 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0
"корабельный" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0.01 0
"корилася" 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0
"коробочка" 0 0 0 0 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0
"королевна" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03
"корона" 0 0 0 0 0 0.01 0 0 0 0.02 0.01 0 0 0 0 0 0 0
"корочка" 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"коршун" 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0.01 0.01 0 0 0
"красавчик" 0 0 0 0 0 0 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0
"краска" 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0.01 0 0 0 0 0 0
"крепость" 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0 0 0 0.01 0 0
"кривой" 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0.01 0 0.01
"кров" 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.02 0 0 0 0 0
"кровие" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0
"кровля" 0 0 0 0 0 0 0 0 0 0.01 0.02 0 0.01 0 0 0 0 0
"кроткий" 0 0 0 0 0 0 0 0 0 0.03 0.01 0 0 0 0 0 0 0
"крюк" 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01
"куделюшка" 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"кудерцы" 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"кузнец" 0 0 0 0 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01
"кумачный" 0 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0
"купеческий" 0 0 0 0 0.01 0 0 0.01 0 0 0.01 0 0 0 0.01 0 0 0
"курочка" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0
"кусток" 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0 0
"лагерь" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02
"лампада" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0
"легкое" 0 0 0 0 0 0 0 0.01 0.01 0 0.02 0 0 0 0 0 0 0
"ледок" 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0.01
"лета" 0 0 0 0.01 0 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0 0
"летати" 0 0 0 0 0 0 0 0.02 0.02 0 0 0 0 0 0 0 0 0
"липа" 0 0 0 0 0 0 0 0 0 0.02 0.01 0 0 0 0 0.01 0 0
"липовый" 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.01 0 0
"литва" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0.01 0.01
"лицый" 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"лично" 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0.01 0 0 0 0 0 0
"ломить" 0 0 0 0.01 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01
"лопата" 0 0 0 0 0.01 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0
"льнуть" 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0
"любим" 0.01 0.01 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"любимая" 0 0.02 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0
"любовия" 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0.01 0 0.01 0 0 0
"любовный" 0 0.01 0 0 0 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0 0
"маленька" 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01
"маленько" 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0
"малешенька" 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"малиновка" 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0.01 0 0
"малиновый" 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.02
"маненька" 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"мария" 0 0 0 0 0 0.01 0 0 0 0.02 0 0.01 0 0 0 0 0 0
"марьюшка" 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0
"машина" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0.02
"мгновенный" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0
"медь" 0 0 0 0 0 0 0 0 0 0.02 0 0 0.02 0 0 0 0 0
"мель" 0.01 0 0 0 0 0 0.01 0.02 0 0 0 0 0 0 0 0 0 0
"милова" 0 0 0 0 0.02 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0
"миловаться" 0 0 0 0 0 0.01 0.01 0 0.01 0 0 0 0 0.01 0 0 0 0
"милостивый" 0 0 0 0 0 0.01 0 0 0 0 0 0 0.02 0.01 0 0 0 0
"минувший" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0
"минуть" 0 0 0 0 0 0 0.01 0 0.01 0 0.01 0.01 0 0 0 0 0 0
"михайла" 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"михайловна" 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0.01
"могильный" 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0.01 0 0 0 0 0
"молодые" 0 0 0 0 0 0.01 0 0 0 0 0.02 0 0 0 0 0.01 0 0
"монах" 0 0 0 0 0 0.01 0 0 0 0.01 0 0.01 0 0 0 0 0.01 0
"морить" 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0.02 0 0 0 0
"морской" 0 0 0 0 0 0 0 0.01 0 0.03 0 0 0 0 0 0 0 0
"мосточка" 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0.02 0
"мотылек" 0 0 0 0 0 0 0 0 0 0 0.01 0 0.02 0 0.01 0 0 0
"мох" 0 0 0.01 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0
"мрамор" 0.01 0 0.01 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0
"мудреный" 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0 0 0 0
"муженек" 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"мундир" 0 0 0 0 0 0 0 0.01 0.02 0 0 0 0 0 0 0.01 0 0
"муравонька" 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.02 0 0
"муравчатый" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0 0 0 0
"муха" 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.03
"мучитель" 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0 0 0 0 0.01 0
"мучительный" 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0 0.01 0 0 0 0
"мщение" 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0 0 0 0 0 0
"мыслить" 0 0 0 0.01 0 0 0.01 0 0.01 0 0 0 0 0.01 0 0 0 0
"мышь" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0
"мягко" 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0.01
"навязнуть" 0 0.01 0.01 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0
"навязываться" 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"надменный" 0 0 0 0 0 0 0 0 0 0.01 0.03 0 0 0 0 0 0 0
"название" 0 0 0 0 0 0 0 0 0 0.02 0 0.02 0 0 0 0 0 0
"наказание" 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0
"накатываться" 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"накушаться" 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"нападывать" 0 0 0 0.01 0 0.01 0.01 0 0 0 0.01 0 0 0 0 0 0 0
"нарекать" 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"наскучивать" 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0
"наследник" 0 0 0 0 0 0 0 0 0 0 0.03 0.01 0 0 0 0 0 0
"наслушаться" 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0
"настраивать" 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0
"нахмуриваться" 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0 0 0 0.01
"нацеловаться" 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02 0 0 0
"ная" 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"невгасимый" 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"невидимый" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0
"недоступный" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0
"недра" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0
"незримый" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0
"некорыстный" 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0.01
"немец" 0 0 0 0 0 0 0 0 0 0.03 0.01 0 0 0 0 0 0 0
"немного" 0 0 0 0.01 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0.01
"ненадобно" 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0.02 0 0 0
"непорядочный" 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0
"неравный" 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01
"неровнюшка" 0 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
